"State","StateAbbrev","City","Airport"
"Alabama","AL","Birmingham","KBHM"
"Alabama","AL","Dothan","KDHN"
"Alabama","AL","Huntsville","KHSV"
"Alabama","AL","Mobile","KMOB"
"Alabama","AL","Montgomery","KMGM"
"Alaska","AK","Anchorage","PANC"
"Alaska","AK","Aniak","PANI"
"Alaska","AK","Bethel","PABE"
"Alaska","AK","Cordova","PACV"
"Alaska","AK","Deadhorse","PASC"
"Alaska","AK","Dillingham","PADL"
"Alaska","AK","Fairbanks","PAFA"
"Alaska","AK","Gustavus","PAGS"
"Alaska","AK","Homer","PAHO"
"Alaska","AK","Juneau","PAJN"
"Alaska","AK","Kenai","PAEN"
"Alaska","AK","Ketchikan","PAKT"
"Alaska","AK","King Salmon","PAKN"
"Alaska","AK","Klawock","PAKW"
"Alaska","AK","Kodiak","PADQ"
"Alaska","AK","Kotzebue","PAOT"
"Alaska","AK","Nome","PAOM"
"Alaska","AK","Petersburg","PAPG"
"Alaska","AK","St. Mary's","PASM"
"Alaska","AK","Sitka","PASI"
"Alaska","AK","Unalakleet","PAUN"
"Alaska","AK","Unalaska","PADU"
"Alaska","AK","UtqiaÄ¡vik (Barrow)","PABR"
"Alaska","AK","Valdez","PAVD"
"Alaska","AK","Wrangell","PAWG"
"Alaska","AK","Yakutat","PAYA"
"Arizona","AZ","Bullhead City","KIFP"
"Arizona","AZ","Flagstaff","KFLG"
"Arizona","AZ","Grand Canyon","KGCN"
"Arizona","AZ","Mesa","KIWA"
"Arizona","AZ","Page","KPGA"
"Arizona","AZ","Phoenix","KPHX"
"Arizona","AZ","Prescott","KPRC"
"Arizona","AZ","Tucson","KTUS"
"Arizona","AZ","Yuma","KNYL"
"Arkansas","AR","Fayetteville","KXNA"
"Arkansas","AR","Fort Smith","KFSM"
"Arkansas","AR","Little Rock","KLIT"
"Arkansas","AR","Texarkana","KTXK"
"California","CA","Arcata/Eureka","KACV"
"California","CA","Bakersfield","KBFL"
"California","CA","Burbank","KBUR"
"California","CA","Concord","KCCR"
"California","CA","Fresno","KFAT"
"California","CA","Long Beach","KLGB"
"California","CA","Los Angeles","KLAX"
"California","CA","Mammoth Lakes","KMMH"
"California","CA","Monterey","KMRY"
"California","CA","Oakland","KOAK"
"California","CA","Ontario","KONT"
"California","CA","Orange County","KSNA"
"California","CA","Palm Springs","KPSP"
"California","CA","Redding","KRDD"
"California","CA","Sacramento","KSMF"
"California","CA","San Diego","KSAN"
"California","CA","San Francisco","KSFO"
"California","CA","San Jose","KSJC"
"California","CA","San Luis Obispo","KSBP"
"California","CA","Santa Barbara","KSBA"
"California","CA","Santa Maria","KSMX"
"California","CA","Santa Rosa","KSTS"
"California","CA","Stockton","KSCK"
"Colorado","CO","Aspen","KASE"
"Colorado","CO","Colorado Springs","KCOS"
"Colorado","CO","Denver","KDEN"
"Colorado","CO","Durango","KDRO"
"Colorado","CO","Eagle/Vail","KEGE"
"Colorado","CO","Grand Junction","KGJT"
"Colorado","CO","Gunnison","KGUC"
"Colorado","CO","Hayden","KHDN"
"Colorado","CO","Montrose","KMTJ"
"Colorado","CO","Pueblo","KPUB"
"Connecticut","CT","Hartford","KBDL"
"Connecticut","CT","New Haven","KHVN"
"Florida","FL","Daytona Beach","KDAB"
"Florida","FL","Fort Lauderdale","KFLL"
"Florida","FL","Fort Myers","KRSW"
"Florida","FL","Fort Walton Beach","KVPS"
"Florida","FL","Gainesville","KGNV"
"Florida","FL","Jacksonville","KJAX"
"Florida","FL","Key West","KEYW"
"Florida","FL","Melbourne","KMLB"
"Florida","FL","Miami","KMIA"
"Florida","FL","Orlando","KMCO"
"Florida","FL","Panama City","KECP"
"Florida","FL","Pensacola","KPNS"
"Florida","FL","Punta Gorda","KPGD"
"Florida","FL","Sanford","KSFB"
"Florida","FL","Sarasota","KSRQ"
"Florida","FL","St. Petersburg","KPIE"
"Florida","FL","Tallahassee","KTLH"
"Florida","FL","Tampa","KTPA"
"Florida","FL","Vero Beach","KVRB"
"Florida","FL","West Palm Beach","KPBI"
"Georgia","GA","Albany","KABY"
"Georgia","GA","Atlanta","KATL"
"Georgia","GA","Augusta","KAGS"
"Georgia","GA","Brunswick","KBQK"
"Georgia","GA","Columbus","KCSG"
"Georgia","GA","Macon","KMCN"
"Georgia","GA","Savannah","KSAV"
"Georgia","GA","Valdosta","KVLD"
"Hawaii","HI","Hilo, Hawaii","PHTO"
"Hawaii","HI","Honolulu, Oahu","PHNL"
"Hawaii","HI","Kahului, Maui","PHOG"
"Hawaii","HI","Kailua-Kona, Hawaii","PHKO"
"Hawaii","HI","Kaunakakai, Molokai","PHMK"
"Hawaii","HI","Lanai City, Lanai","PHNY"
"Hawaii","HI","Lihue, Kauai","PHLI"
"Idaho","ID","Boise","KBOI"
"Idaho","ID","Hailey / Sun Valley","KSUN"
"Idaho","ID","Idaho Falls","KIDA"
"Idaho","ID","Lewiston","KLWS"
"Idaho","ID","Pocatello","KPIH"
"Idaho","ID","Twin Falls","KTWF"
"Illinois","IL","Belleville","KBLV"
"Illinois","IL","Bloomington","KBMI"
"Illinois","IL","Champaign","KCMI"
"Illinois","IL","Chicago","KORD"
"Illinois","IL","Marion","KMWA"
"Illinois","IL","Moline","KMLI"
"Illinois","IL","Peoria","KPIA"
"Illinois","IL","Quincy","KUIN"
"Illinois","IL","Rockford","KRFD"
"Illinois","IL","Springfield","KSPI"
"Indiana","IN","Evansville","KEVV"
"Indiana","IN","Fort Wayne","KFWA"
"Indiana","IN","Indianapolis","KIND"
"Indiana","IN","South Bend","KSBN"
"Iowa","IA","Cedar Rapids","KCID"
"Iowa","IA","Des Moines","KDSM"
"Iowa","IA","Dubuque","KDBQ"
"Iowa","IA","Sioux City","KSUX"
"Iowa","IA","Waterloo","KALO"
"Kansas","KS","Garden City","KGCK"
"Kansas","KS","Hays","KHYS"
"Kansas","KS","Manhattan","KMHK"
"Kansas","KS","Salina","KSLN"
"Kansas","KS","Wichita","KICT"
"Kentucky","KY","Cincinnati","KCVG"
"Kentucky","KY","Lexington","KLEX"
"Kentucky","KY","Louisville","KSDF"
"Kentucky","KY","Owensboro","KOWB"
"Kentucky","KY","Paducah","KPAH"
"Louisiana","LA","Alexandria","KAEX"
"Louisiana","LA","Baton Rouge","KBTR"
"Louisiana","LA","Lafayette","KLFT"
"Louisiana","LA","Lake Charles","KLCH"
"Louisiana","LA","Monroe","KMLU"
"Louisiana","LA","New Orleans","KMSY"
"Louisiana","LA","Shreveport","KSHV"
"Maine","ME","Bangor","KBGR"
"Maine","ME","Portland","KPWM"
"Maine","ME","Presque Isle","KPQI"
"Maine","ME","Rockland","KRKD"
"Maryland","MD","Baltimore","KBWI"
"Maryland","MD","Hagerstown","KHGR"
"Maryland","MD","Salisbury","KSBY"
"Massachusetts","MA","Bedford","KBED"
"Massachusetts","MA","Boston","KBOS"
"Massachusetts","MA","Hyannis","KHYA"
"Massachusetts","MA","Nantucket","KACK"
"Massachusetts","MA","Provincetown","KPVC"
"Massachusetts","MA","Vineyard Haven","KMVY"
"Massachusetts","MA","Worcester","KORH"
"Michigan","MI","Alpena","KAPN"
"Michigan","MI","Detroit","KDTW"
"Michigan","MI","Escanaba","KESC"
"Michigan","MI","Flint","KFNT"
"Michigan","MI","Grand Rapids","KGRR"
"Michigan","MI","Hancock","KCMX"
"Michigan","MI","Iron Mountain","KIMT"
"Michigan","MI","Kalamazoo","KAZO"
"Michigan","MI","Lansing","KLAN"
"Michigan","MI","Marquette","KSAW"
"Michigan","MI","Muskegon","KMKG"
"Michigan","MI","Pellston","KPLN"
"Michigan","MI","Saginaw","KMBS"
"Michigan","MI","Sault Ste. Marie","KCIU"
"Michigan","MI","Traverse City","KTVC"
"Minnesota","MN","Bemidji","KBJI"
"Minnesota","MN","Brainerd","KBRD"
"Minnesota","MN","Duluth","KDLH"
"Minnesota","MN","Hibbing","KHIB"
"Minnesota","MN","International Falls","KINL"
"Minnesota","MN","Minneapolis","KMSP"
"Minnesota","MN","Rochester","KRST"
"Minnesota","MN","St. Cloud","KSTC"
"Mississippi","MS","Columbus","KGTR"
"Mississippi","MS","Gulfport / Biloxi","KGPT"
"Mississippi","MS","Jackson","KJAN"
"Mississippi","MS","Meridian","KMEI"
"Mississippi","MS","Tupelo","KTUP"
"Missouri","MO","Columbia","KCOU"
"Missouri","MO","Joplin","KJLN"
"Missouri","MO","Kansas City","KMCI"
"Missouri","MO","Springfield","KSGF"
"Missouri","MO","St. Louis","KSTL"
"Montana","MT","Billings","KBIL"
"Montana","MT","Bozeman","KBZN"
"Montana","MT","Butte","KBTM"
"Montana","MT","Great Falls","KGTF"
"Montana","MT","Helena","KHLN"
"Montana","MT","Kalispell","KGPI"
"Montana","MT","Missoula","KMSO"
"Montana","MT","Sidney","KSDY"
"Montana","MT","West Yellowstone","KWYS"
"Nebraska","NE","Grand Island","KGRI"
"Nebraska","NE","Lincoln","KLNK"
"Nebraska","NE","North Platte","KLBF"
"Nebraska","NE","Omaha","KOMA"
"Nebraska","NE","Scottsbluff","KBFF"
"Nevada","NV","Boulder City","KBVU"
"Nevada","NV","Elko","KEKO"
"Nevada","NV","Las Vegas","KLAS"
"Nevada","NV","Reno","KRNO"
"New Hampshire","NH","Lebanon","KLEB"
"New Hampshire","NH","Manchester","KMHT"
"New Hampshire","NH","Portsmouth","KPSM"
"New Jersey","NJ","Atlantic City","KACY"
"New Jersey","NJ","Newark","KEWR"
"New Jersey","NJ","Trenton","KTTN"
"New Mexico","NM","Albuquerque","KABQ"
"New Mexico","NM","Hobbs","KHOB"
"New Mexico","NM","Roswell","KROW"
"New Mexico","NM","Santa Fe","KSAF"
"New York","NY","Albany","KALB"
"New York","NY","Binghamton","KBGM"
"New York","NY","Buffalo","KBUF"
"New York","NY","Elmira","KELM"
"New York","NY","Islip","KISP"
"New York","NY","Ithaca","KITH"
"New York","NY","New York","KJFK"
"New York","NY","Newburgh","KSWF"
"New York","NY","Niagara Falls","KIAG"
"New York","NY","Ogdensburg","KOGS"
"New York","NY","Plattsburgh","KPBG"
"New York","NY","Rochester","KROC"
"New York","NY","Syracuse","KSYR"
"New York","NY","Watertown","KART"
"New York","NY","White Plains","KHPN"
"North Carolina","NC","Asheville","KAVL"
"North Carolina","NC","Charlotte","KCLT"
"North Carolina","NC","Concord","KJQF"
"North Carolina","NC","Fayetteville","KFAY"
"North Carolina","NC","Greensboro","KGSO"
"North Carolina","NC","Greenville","KPGV"
"North Carolina","NC","Jacksonville","KOAJ"
"North Carolina","NC","New Bern","KEWN"
"North Carolina","NC","Raleigh","KRDU"
"North Carolina","NC","Wilmington","KILM"
"North Dakota","ND","Bismarck","KBIS"
"North Dakota","ND","Dickinson","KDIK"
"North Dakota","ND","Fargo","KFAR"
"North Dakota","ND","Grand Forks","KGFK"
"North Dakota","ND","Jamestown","KJMS"
"North Dakota","ND","Minot","KMOT"
"North Dakota","ND","Williston","KXWA"
"Ohio","OH","Akron","KCAK"
"Ohio","OH","Cincinnati","KCVG"
"Ohio","OH","Cleveland","KCLE"
"Ohio","OH","Columbus","KCMH"
"Ohio","OH","Dayton","KDAY"
"Ohio","OH","Toledo","KTOL"
"Oklahoma","OK","Lawton","KLAW"
"Oklahoma","OK","Oklahoma City","KOKC"
"Oklahoma","OK","Stillwater","KSWO"
"Oklahoma","OK","Tulsa","KTUL"
"Oregon","OR","Eugene","KEUG"
"Oregon","OR","Medford","KMFR"
"Oregon","OR","North Bend","KOTH"
"Oregon","OR","Portland","KPDX"
"Oregon","OR","Redmond","KRDM"
"Pennsylvania","PA","Allentown","KABE"
"Pennsylvania","PA","Erie","KERI"
"Pennsylvania","PA","Harrisburg","KMDT"
"Pennsylvania","PA","Latrobe","KLBE"
"Pennsylvania","PA","Philadelphia","KPHL"
"Pennsylvania","PA","Pittsburgh","KPIT"
"Pennsylvania","PA","State College","KUNV"
"Pennsylvania","PA","Wilkes-Barre","KAVP"
"Pennsylvania","PA","Williamsport","KIPT"
"Rhode Island","RI","Block Island","KBID"
"Rhode Island","RI","Providence","KPVD"
"Rhode Island","RI","Westerly","KWST"
"South Carolina","SC","Charleston","KCHS"
"South Carolina","SC","Columbia","KCAE"
"South Carolina","SC","Florence","KFLO"
"South Carolina","SC","Greenville","KGSP"
"South Carolina","SC","Hilton Head","KHXD"
"South Carolina","SC","Myrtle Beach","KMYR"
"South Dakota","SD","Aberdeen","KABR"
"South Dakota","SD","Pierre","KPIR"
"South Dakota","SD","Rapid City","KRAP"
"South Dakota","SD","Sioux Falls","KFSD"
"South Dakota","SD","Watertown","KATY"
"Tennessee","TN","Chattanooga","KCHA"
"Tennessee","TN","Knoxville","KTYS"
"Tennessee","TN","Memphis","KMEM"
"Tennessee","TN","Nashville","KBNA"
"Tennessee","TN","Tri-Cities","KTRI"
"Texas","TX","Abilene","KABI"
"Texas","TX","Amarillo","KAMA"
"Texas","TX","Austin","KAUS"
"Texas","TX","Beaumont","KBPT"
"Texas","TX","Brownsville","KBRO"
"Texas","TX","College Station","KCLL"
"Texas","TX","Corpus Christi","KCRP"
"Texas","TX","Dallas","KDFW"
"Texas","TX","El Paso","KELP"
"Texas","TX","Harlingen","KHRL"
"Texas","TX","Houston","KIAH"
"Texas","TX","Killeen","KGRK"
"Texas","TX","Laredo","KLRD"
"Texas","TX","Longview","KGGG"
"Texas","TX","Lubbock","KLBB"
"Texas","TX","McAllen","KMFE"
"Texas","TX","Midland / Odessa","KMAF"
"Texas","TX","San Angelo","KSJT"
"Texas","TX","San Antonio","KSAT"
"Texas","TX","Tyler","KTYR"
"Texas","TX","Waco","KACT"
"Texas","TX","Wichita Falls","KSPS"
"Utah","UT","Cedar City","KCDC"
"Utah","UT","Moab","KCNY"
"Utah","UT","Ogden","KOGD"
"Utah","UT","Provo","KPVU"
"Utah","UT","Salt Lake City","KSLC"
"Utah","UT","St. George","KSGU"
"Utah","UT","Vernal","KVEL"
"Vermont","VT","Burlington","KBTV"
"Virginia","VA","Charlottesville","KCHO"
"Virginia","VA","Lynchburg","KLYH"
"Virginia","VA","Newport News","KPHF"
"Virginia","VA","Norfolk","KORF"
"Virginia","VA","Richmond","KRIC"
"Virginia","VA","Roanoke","KROA"
"Virginia","VA","Staunton / Waynesboro / Harrisonburg","KSHD"
"Virginia","VA","Washington D.C.","KIAD"
"Washington","WA","Bellingham","KBLI"
"Washington","WA","Eastsound","KORS"
"Washington","WA","Everett","KPAE"
"Washington","WA","Friday Harbor","KFHR"
"Washington","WA","Pasco","KPSC"
"Washington","WA","Pullman / Moscow, Idaho","KPUW"
"Washington","WA","Seattle","KSEA"
"Washington","WA","Spokane","KGEG"
"Washington","WA","Walla Walla","KALW"
"Washington","WA","Wenatchee","KEAT"
"Washington","WA","Yakima","KYKM"
"West Virginia","WV","Charleston","KCRW"
"West Virginia","WV","Clarksburg","KCKB"
"West Virginia","WV","Huntington","KHTS"
"West Virginia","WV","Lewisburg","KLWB"
"Wisconsin","WI","Appleton","KATW"
"Wisconsin","WI","Eau Claire","KEAU"
"Wisconsin","WI","Green Bay","KGRB"
"Wisconsin","WI","La Crosse","KLSE"
"Wisconsin","WI","Madison","KMSN"
"Wisconsin","WI","Milwaukee","KMKE"
"Wisconsin","WI","Mosinee","KCWA"
"Wisconsin","WI","Rhinelander","KRHI"
"Wyoming","WY","Casper","KCPR"
"Wyoming","WY","Cody","KCOD"
"Wyoming","WY","Gillette","KGCC"
"Wyoming","WY","Jackson","KJAC"
"Wyoming","WY","Laramie","KLAR"
"Wyoming","WY","Riverton","KRIW"
"Wyoming","WY","Rock Springs","KRKS"
"Wyoming","WY","Sheridan","KSHR"
"American Samoa",NA,"Pago Pago, Tutuila","NSTU"
"Guam",NA,"Agana / Tamuning","PGUM"
"Northern Marianas",NA,"Obyan, Saipan Island","PGSN"
"Northern Marianas",NA,"Rota Island","PGRO"
"Northern Marianas",NA,"Tinian Island","PGWT"
"Puerto Rico","PR","Aguadilla","TJBQ"
"Puerto Rico","PR","Ceiba","TJRV"
"Puerto Rico","PR","Culebra","TJCP"
"Puerto Rico","PR","Ponce","TJPS"
"Puerto Rico","PR","San Juan","TJSJ"
"Puerto Rico","PR","Vieques","TJVQ"
"U.s. Virgin Islands",NA,"Charlotte Amalie, St. Thomas","TIST"
"U.s. Virgin Islands",NA,"Christiansted, St. Croix","TISX"
